Longitude,Latitude,YEAR,Date_Time,SEASON,STAGE,R6TFU,AVAILABLE,Trip_id,variable,value
-6.133182,-16.106575,2017,01/12/2017 20:30,HOT,INCUBATING,1,0,9732,Rainmm,-1.81e-09
-7.34665,-17.046141,2017,02/12/2017 08:30,HOT,INCUBATING,1,0,9732,Rainmm,0.0729
-7.205374,-16.453458,2017,02/12/2017 14:30,HOT,INCUBATING,1,0,9732,Rainmm,0.0134
-7.157958,-16.311135,2017,02/12/2017 17:30,HOT,INCUBATING,1,0,9732,Rainmm,-9.16e-09
-7.278969,-16.000455,2017,02/12/2017 20:30,HOT,INCUBATING,1,0,9732,Rainmm,-9.16e-09
-7.500125,-16.060077,2017,02/12/2017 23:30,HOT,INCUBATING,1,0,9732,Rainmm,-9.16e-09
-7.586905,-16.058604,2017,03/12/2017 02:30,HOT,INCUBATING,1,0,9732,Rainmm,-2.69e-09
-7.399395,-15.609725,2017,03/12/2017 05:30,HOT,INCUBATING,1,0,9732,Rainmm,0.102
-7.40188,-15.642736,2017,03/12/2017 08:30,HOT,INCUBATING,1,0,9732,Rainmm,0.142
-7.427242,-15.755821,2017,03/12/2017 11:30,HOT,INCUBATING,1,0,9732,Rainmm,0.162
-7.442307,-15.932222,2017,03/12/2017 14:30,HOT,INCUBATING,1,0,9732,Rainmm,0.0254
-7.471919,-15.934786,2017,03/12/2017 17:30,HOT,INCUBATING,1,0,9732,Rainmm,0.014
-7.440518,-15.785074,2017,03/12/2017 20:30,HOT,INCUBATING,1,0,9732,Rainmm,0.00456
-7.457816,-15.849261,2017,03/12/2017 23:30,HOT,INCUBATING,1,0,9732,Rainmm,0.0703
-7.294043,-15.578709,2017,04/12/2017 02:30,HOT,INCUBATING,1,0,9732,Rainmm,0.0479
-7.089628,-15.381752,2017,04/12/2017 05:30,HOT,INCUBATING,1,0,9732,Rainmm,0.127
-7.075583,-15.539641,2017,04/12/2017 08:30,HOT,INCUBATING,1,0,9732,Rainmm,0.256
-6.838597,-15.710589,2017,04/12/2017 20:30,HOT,INCUBATING,1,0,9732,Rainmm,0.196
-6.813436,-15.706389,2017,04/12/2017 23:30,HOT,INCUBATING,1,0,9732,Rainmm,0.262
-6.361434,-15.195864,2017,05/12/2017 05:30,HOT,INCUBATING,1,0,9732,Rainmm,0.142
-6.353727,-15.338181,2017,05/12/2017 08:30,HOT,INCUBATING,1,0,9732,Rainmm,0.198
-6.284183,-15.62212,2017,05/12/2017 11:30,HOT,INCUBATING,1,0,9732,Rainmm,0.194
-6.083912,-15.748145,2017,05/12/2017 14:30,HOT,INCUBATING,1,0,9732,Rainmm,0.0286
-5.967889,-15.855611,2017,05/12/2017 17:30,HOT,INCUBATING,1,0,9732,Rainmm,0
-5.849205,-16.954584,2017,02/12/2017 05:29,HOT,INCUBATING,1,0,9741,Rainmm,0.18
-5.886594,-17.107082,2017,02/12/2017 08:29,HOT,INCUBATING,1,0,9741,Rainmm,0.234
-6.473572,-17.682734,2017,02/12/2017 14:29,HOT,INCUBATING,1,0,9741,Rainmm,0.0172
-6.479559,-17.708129,2017,02/12/2017 17:29,HOT,INCUBATING,1,0,9741,Rainmm,-9.16e-09
-6.449014,-17.703076,2017,02/12/2017 20:29,HOT,INCUBATING,1,0,9741,Rainmm,-9.16e-09
-6.745686,-18.322731,2017,03/12/2017 02:29,HOT,INCUBATING,1,0,9741,Rainmm,0.0617
-6.683385,-18.18706,2017,03/12/2017 05:29,HOT,INCUBATING,1,0,9741,Rainmm,0.127
-6.831712,-18.4495,2017,03/12/2017 08:29,HOT,INCUBATING,1,0,9741,Rainmm,0.212
-6.981184,-18.648938,2017,03/12/2017 11:29,HOT,INCUBATING,1,0,9741,Rainmm,0.289
-7.103593,-18.87383,2017,03/12/2017 14:29,HOT,INCUBATING,1,0,9741,Rainmm,0.0553
-7.087885,-18.771045,2017,03/12/2017 17:29,HOT,INCUBATING,1,0,9741,Rainmm,-6.25e-09
-6.913924,-18.563843,2017,03/12/2017 20:29,HOT,INCUBATING,1,0,9741,Rainmm,0.00259
-6.75361,-18.697852,2017,03/12/2017 23:29,HOT,INCUBATING,1,0,9741,Rainmm,0.00354
-6.581836,-20.7641,2017,04/12/2017 14:29,HOT,INCUBATING,1,0,9741,Rainmm,0.00404
-6.590516,-20.924078,2017,04/12/2017 17:29,HOT,INCUBATING,1,0,9741,Rainmm,0
-6.471872,-20.564053,2017,04/12/2017 20:29,HOT,INCUBATING,1,0,9741,Rainmm,-9.28e-09
-6.345455,-20.39634,2017,04/12/2017 23:29,HOT,INCUBATING,1,0,9741,Rainmm,0.00571
-6.126255,-20.131032,2017,05/12/2017 08:29,HOT,INCUBATING,1,0,9741,Rainmm,0.302
-6.073653,-20.003978,2017,05/12/2017 11:29,HOT,INCUBATING,1,0,9741,Rainmm,0.417
-6.040413,-19.785595,2017,05/12/2017 14:29,HOT,INCUBATING,1,0,9741,Rainmm,0.0672
-6.028573,-19.809044,2017,05/12/2017 17:29,HOT,INCUBATING,1,0,9741,Rainmm,0
-5.918868,-19.600822,2017,05/12/2017 20:29,HOT,INCUBATING,1,0,9741,Rainmm,0
-5.903331,-19.828752,2017,05/12/2017 23:29,HOT,INCUBATING,1,0,9741,Rainmm,0
-5.869483,-19.71104,2017,06/12/2017 02:29,HOT,INCUBATING,1,0,9741,Rainmm,0
-5.88099,-19.69538,2017,06/12/2017 05:29,HOT,INCUBATING,1,0,9741,Rainmm,0
-5.891557,-19.849032,2017,06/12/2017 08:29,HOT,INCUBATING,1,0,9741,Rainmm,0
-5.879954,-19.845684,2017,06/12/2017 11:29,HOT,INCUBATING,1,0,9741,Rainmm,0.0651
-5.269966,-16.198187,2017,07/12/2017 11:29,HOT,INCUBATING,1,0,9741,Rainmm,0.309
-5.314193,-16.03156,2017,07/12/2017 14:29,HOT,INCUBATING,1,0,9741,Rainmm,0.0456
-6.819177,-17.476831,2017,03/12/2017 01:00,HOT,CHICK_REARING,1,0,9751,Rainmm,0.00788
-6.830514,-17.583601,2017,03/12/2017 02:00,HOT,CHICK_REARING,1,0,9751,Rainmm,0.0193
-6.81227,-17.58073,2017,03/12/2017 03:00,HOT,CHICK_REARING,1,0,9751,Rainmm,0.026
-6.8061,-17.577332,2017,03/12/2017 04:00,HOT,CHICK_REARING,1,0,9751,Rainmm,0.0545
-8.333559,-21.598623,2017,05/12/2017 07:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.208
-8.336558,-21.598886,2017,05/12/2017 08:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.255
-8.340761,-21.594248,2017,05/12/2017 09:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.302
-8.339183,-21.597894,2017,05/12/2017 10:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.383
-8.346561,-21.568601,2017,05/12/2017 11:00,HOT,CHICK_REARING,1,0,9752,Rainmm,0.469
