NEST_ID,HATCHING EXPOSURE,FLEDGING EXPOSURE,Year_Nest,Date_FirstMarked,NestMarker,WaypointCode,Elevation_metres,Latitude_WGS84,Longitude_WGS84,ASTRODOS_UTM_E,ASTRODOS_UTM_N,TYPE,PARENT 1m,PARENT 2f,PARENT3,SEASON,HATCHED,fledged,failed,cause of failure,nested before,tracked?
MASPE_2015_C01C,28.5,25.5,2015,04/06/2015,1C,ANC1C,51.863,-15.97033176,-5.772452541,,,MANMADE,BT68228,BT54169,,COOL,TRUE,TRUE,,,,
MASPE_2019_C13R,20,10,2019,04/06/2019,13R,ANC13R,42.3711,-15.97041676,-5.772882924,,,MANMADE,BT69152,BT54338,,COOL,TRUE,TRUE,,,,FALSE
MASPE_2019_C86R,28.5,1.5,2019,15/05/2019,86R,ANC86R,35.908653,-15.97026485,-5.772842539,,,MANMADE,BT69143,BT54691,,COOL,TRUE,TRUE,,,,FALSE
MASPE_2017_H05R,39,48.5,2017,28/11/2017,5R,ANC5R,44.8309,-15.97032191,-5.772785491,,,MANMADE,BT67310,BT54779,,HOT,TRUE,TRUE,,,,TRUE
MASPE_2017_H52S,85.5,0,2017,30/11/2017,52S,ANC52S,78.625443,-15.97067954,-5.771740497,,,MANMADE,BT69413,BT54923,,HOT,,,UNKNOWN,,,FALSE
MASPE_2015_H02R,50,0,2015,23/11/2015,2R,ANC2R,45.9118,-15.97032942,-5.77280731,,,MANMADE,BT67698,BT61074,,HOT,,,,,,
MASPE_2018_C11R,11,103,2018,31/05/2018,11R,ANC11R,42.2853,-15.97040903,-5.772884393,,,MANMADE,BT68284,BT61300,,COOL,TRUE,TRUE,,,,TRUE
MASPE_2017_C11R,0,31,2017,23/06/2017,11R,ANC11R,42.2853,-15.97040903,-5.772884393,,,MANMADE,BT68284,BT61300,,COOL,TRUE,,TRUE,,,
MASPE_2019_C11R,17,10,2019,07/06/2019,11R,ANC11R,,,,,,MANMADE,BT68284,BT61300,,COOL,TRUE,TRUE,,,,FALSE
MASPE_2017_H11S,30,57.5,2017,28/11/2017,11S,ANC11S,74.9934,-15.97068802,-5.771732207,,,MANMADE,BT69074,BT61429,,HOT,TRUE,TRUE,,,,TRUE
MASPE_2018_H11S,31.5,66,2018,19/11/2018,11S,ANC11S,74.9934,-15.97068802,-5.771732207,,,MANMADE,BT69074,BT61429,,HOT,TRUE,,TRUE,,,FALSE
MASPE_2017_H07R,73.5,0,2017,12/12/2017,7R,ANC7R,41.8042,-15.97040853,-5.772886627,,,MANMADE,BT68985,BT62138,,HOT,,,UNKNOWN,,,FALSE
MASPE_2014_H11R,12,0,2014,12/12/2014,11R,ANC11R,42.2853,-15.97040903,-5.772884393,,,MANMADE,BT62132,BT62678,,HOT,,,TRUE,,,
MASPE_2017_H11R,3,16,2017,28/11/2017,11R,ANC11R,42.2853,-15.97040903,-5.772884393,,,MANMADE,BT62132,BT62678,,HOT,TRUE,,TRUE,,,TRUE
